month,OralADTitems,OralADTqty,InjADTitems,InjADTqty
2015-01-01,23465,754252.0,41759,42521.0
2015-02-01,21644,695207.0,37003,37626.0
2015-03-01,24037,764385.0,41234,41926.0
2015-04-01,23155,740084.0,40631,41263.0
2015-05-01,22783,726911.0,39565,40234.0
2015-06-01,23568,753677.0,40837,41547.0
2015-07-01,24730,786592.0,42384,43127.0
2015-08-01,22533,712599.0,38729,39419.0
2015-09-01,23777,753829.0,41818,42584.0
2015-10-01,23962,756810.0,40893,41630.0
2015-11-01,22970,720902.0,39758,40484.0
2015-12-01,25129,795260.0,42188,42911.0
2016-01-01,22461,708175.0,41095,41800.0
2016-02-01,22238,699910.0,39294,40009.0
2016-03-01,23451,735770.0,42158,42844.0
2016-04-01,23438,733929.0,41857,42614.0
2016-05-01,22658,713951.0,40528,41228.0
2016-06-01,23439,735243.0,42060,42830.0
2016-07-01,23037,717577.0,41151,41881.0
2016-08-01,23201,725082.0,41341,42017.0
2016-09-01,23185,729398.0,41973,42708.0
2016-10-01,22634,699398.0,41297,41979.0
2016-11-01,23187,722783.0,41242,42002.0
2016-12-01,23750,735083.0,42128,42812.0
2017-01-01,22376,686438.0,42777,43509.0
2017-02-01,21028,645359.0,39049,39763.0
2017-03-01,23928,733381.0,44997,45794.0
2017-04-01,21597,662580.0,39666,40381.0
2017-05-01,23344,713672.0,42259,42888.0
2017-06-01,23489,720540.0,43256,44024.0
2017-07-01,22618,692191.0,41646,42359.0
2017-08-01,23030,705543.0,42633,43416.0
2017-09-01,22325,681853.0,41487,42222.0
2017-10-01,22548,688556.0,42823,43531.0
2017-11-01,22933,709695.0,42479,43267.0
2017-12-01,23092,716586.0,41523,42191.0
2018-01-01,23157,716204.0,44999,45844.0
2018-02-01,20530,633038.0,39717,40525.0
2018-03-01,22932,711627.0,43775,44541.0
2018-04-01,21626,673598.0,42810,43515.0
2018-05-01,22567,692672.0,44614,45402.0
2018-06-01,22058,674268.0,43770,44496.0
2018-07-01,22548,691567.0,45422,46184.0
2018-08-01,23094,702890.0,45867,46676.0
2018-09-01,21129,642345.0,42974,43727.0
2018-10-01,23016,698496.0,47401,48196.0
2018-11-01,22597,689447.0,45186,45991.0
2018-12-01,22361,682322.0,44188,44860.0
2019-01-01,22686,689817.0,48218,49075.0
2019-02-01,20605,629376.0,42689,43419.0
2019-03-01,21815,667377.0,46331,47069.0
2019-04-01,21570,653276.0,45665,46418.0
2019-05-01,22854,693436.0,48073,48902.0
2019-06-01,21170,641900.0,44348,45142.0
2019-07-01,21854,655936.0,47891,48715.0
2019-08-01,23053,694442.0,46723,47545.0
2019-09-01,21628,653253.0,45583,46393.0
2019-10-01,22937,691166.0,48974,49824.0
2019-11-01,21936,661329.0,45949,46664.0
2019-12-01,22118,667140.0,46728,47517.0
2020-01-01,22640,681614.0,50878,51662.0
2020-02-01,20378,612356.0,44633,45461.0
2020-03-01,22897,711441.0,47148,48082.0
2020-04-01,24106,728310.0,49919,50696.0
2020-05-01,21828,665455.0,45381,46180.0
2020-06-01,22211,664906.0,46805,47572.0
2020-07-01,22828,686836.0,47505,48240.0
2020-08-01,20641,619501.0,41946,42717.0
2020-09-01,21844,660352.0,45531,46346.0
2020-10-01,22086,663289.0,46831,47615.0
2020-11-01,20820,627299.0,43677,44466.0
2020-12-01,22262,665811.0,47044,47833.0
2021-01-01,20826,621526.0,41490,42172.0
2021-02-01,19644,582258.0,38825,39530.0
2021-03-01,21415,637550.0,43023,43767.0
2021-04-01,20674,616242.0,41659,42377.0
2021-05-01,19665,580802.0,40044,40847.0
2021-06-01,20918,620033.0,42079,42824.0
2021-07-01,20639,613830.0,41996,42753.0
2021-08-01,19791,582610.0,40015,40669.0
2021-09-01,20362,604634.0,41686,42418.0
2021-10-01,19430,576050.0,40465,41163.0
2021-11-01,20030,588722.0,40654,41340.0
2021-12-01,20920,621938.0,43186,43947.0
2022-01-01,19424,571364.0,43113,43916.0
2022-02-01,18085,531037.0,39635,40354.0
2022-03-01,20237,595494.0,43682,44465.0
2022-04-01,18844,553969.0,41509,42184.0
2022-05-01,19560,577790.0,42893,43645.0
2022-06-01,18810,553108.0,42386,43142.0
2022-07-01,18613,552745.0,43628,44407.0
2022-08-01,19240,569761.0,42388,43093.0
